name gender age
Connie F 8
Jacqueline F 14
Johnny M 8
Bill M 11
Samuel M 5
Alice F 11
Willie M 13
Kenneth M 11
Diane F 5
Tommy M 12
Howard M 6
Ann F 12
Carol F 10
Sarah F 10
Richard M 7
Joanne F 10
Bernard M 12
Paul M 7
Kathy F 8
Donna F 6
Dennis M 5
Larry M 10
Bobby M 8
Shirley F 14
Anita F 9
Donald M 6
Dolores F 6
Dianne F 5
Glenn M 9
Ray M 12
Paula F 9
Theodore M 10
Tom M 10
Suzanne F 4
Albert M 10
Louise F 11
Janet F 11
Sue F 13
Nancy F 10
Michael M 11
Lawrence M 8
Marie F 13
Barry M 15
Annie F 8
Jack M 8
Evelyn F 9
Ronnie M 14
Douglas M 13
Edward M 7
Bruce M 6
Sally F 11
Peter M 6
Roy M 15
Theresa F 8
Jean F 14
Francis M 7
Doris F 8
Kathleen F 3
Mark M 6
Gary M 10
John M 5
Joann F 10
Cheryl F 6
Alan M 10
Jimmy M 13
Peggy F 8
Robert M 12
Gerald M 10
Elizabeth F 12
Diana F 11
Roger M 8
Christine F 12
Judith F 9
Stephen M 9
Joyce F 6
Andrew M 8
David M 4
Harold M 10
Fred M 6
Norman M 10
Eileen F 8
Ruth F 5
Sherry F 14
Carole F 10
Sylvia F 12
Helen F 8
Mildred F 2
Jo F 6
Phillip M 8
Barbara F 10
George M 8
Jerry M 9
Margaret F 8
Jim M 12
Joan F 8
Lorraine F 7
Gloria F 10
Brenda F 12
Patsy F 9
Frederic M 9
Eugene M 13
Anne F 7
Allen M 6
Alfred M 10
Rebecca F 11
Cynthia F 6
Leonard M 10
Marilyn F 10
Susan F 9
Marjorie F 8
Don M 6
Catherin F 7
Earl M 13
Harry M 12
Sandra F 6
Virginia F 9
Bonnie F 7
Lee M 14
Katherine F 9
Jeffrey M 7
Elaine F 5
Philip M 6
Terry M 11
Thomas M 11
Kathryn F 7
Patricia F 9
Arthur M 6
Charlotte F 7
Carolyn F 10
Deborah F 10
Ralph M 11
Gene M 9
Sharon F 5
Ernest M 10
Martha F 8
Jane F 6
Russell M 9
James M 5
Dale M 10
Keith M 9
Mike M 7
Marcia F 11
Judy F 9
Danny M 16
Rita F 9
Laura F 13
Daniel M 11
Beverly F 6
Gregory M 9
Steve M 3
Carl M 11
William M 7
Gail F 7
Joseph M 11
Sheila F 10
Linda F 4
Darlene F 11
Norma F 9
Charles M 8
Ronald M 10
Joe M 6
Phyllis F 10
Raymond M 7
Patrick M 7
Timothy M 11
Walter M 9
Lois F 8
Henry M 6
Anna F 11
Martin M 9
Clarence M 13
Maria F 9
Wanda F 9
Marvin M 8
Frank M 12
Rosemary F 6
Leroy M 8
Billy M 14
Pamela F 8
Louis M 8
Curtis M 7
Steven M 5
Herbert M 11
Ellen F 14
Janice F 6
Roberta F 8
Karen F 4
Betty F 14
Stanley M 14
Rose F 6
Frances F 7
Wayne M 11
Melvin M 5
Kay F 6
Anthony M 8
Dorothy F 5
